model,dataset,seq_len,pred_len,features,mse,mae,seed,run,timestamp_utc
DLinear,ETTh1,96,96,M,0.396158,0.410841,2021,0,2026-08-11T14:27:43+00:00
DLinear,ETTh1,96,192,M,0.445007,0.440381,2021,0,2026-08-11T14:27:59+00:00
DLinear,ETTh1,96,336,M,0.487411,0.465404,2021,0,2026-08-11T14:28:13+00:00
DLinear,ETTh1,96,720,M,0.512638,0.510405,2021,0,2026-08-11T14:28:25+00:00
DLinear,ETTh2,96,96,M,0.341447,0.395293,2021,0,2026-08-11T14:28:35+00:00
DLinear,ETTh2,96,192,M,0.481909,0.479198,2021,0,2026-08-11T14:28:51+00:00
DLinear,ETTh2,96,336,M,0.592931,0.542171,2021,0,2026-08-11T14:29:01+00:00
DLinear,ETTh2,96,720,M,0.840323,0.661099,2021,0,2026-08-11T14:29:19+00:00
DLinear,ETTm1,96,96,M,0.345947,0.373709,2021,0,2026-08-11T14:29:44+00:00
DLinear,ETTm1,96,192,M,0.381815,0.391069,2021,0,2026-08-11T14:30:11+00:00
DLinear,ETTm1,96,336,M,0.415267,0.415027,2021,0,2026-08-11T14:30:35+00:00
DLinear,ETTm1,96,720,M,0.472979,0.450940,2021,0,2026-08-11T14:31:03+00:00
DLinear,ETTm2,96,96,M,0.193428,0.292817,2021,0,2026-08-11T14:31:31+00:00
DLinear,ETTm2,96,192,M,0.284532,0.361383,2021,0,2026-08-11T14:32:09+00:00
DLinear,ETTm2,96,336,M,0.384927,0.429467,2021,0,2026-08-11T14:32:34+00:00
DLinear,ETTm2,96,720,M,0.556104,0.523487,2021,0,2026-08-11T14:33:06+00:00
PatchTST,ETTh1,96,96,M,0.385111,0.405567,2021,0,2026-08-12T07:05:38+00:00
PatchTST,ETTh1,96,192,M,0.446542,0.439328,2021,0,2026-08-12T07:05:59+00:00
PatchTST,ETTh1,96,336,M,0.486462,0.469740,2021,0,2026-08-12T07:06:29+00:00
PatchTST,ETTh1,96,720,M,0.492771,0.487985,2021,0,2026-08-12T07:06:58+00:00
PatchTST,ETTh2,96,96,M,0.318057,0.361191,2021,0,2026-08-12T07:07:24+00:00
PatchTST,ETTh2,96,192,M,0.392989,0.408511,2021,0,2026-08-12T07:07:49+00:00
PatchTST,ETTh2,96,336,M,0.418966,0.435729,2021,0,2026-08-12T07:08:14+00:00
PatchTST,ETTh2,96,720,M,0.438329,0.453549,2021,0,2026-08-12T07:08:35+00:00
PatchTST,ETTm1,96,96,M,0.332555,0.369773,2021,0,2026-08-12T07:09:47+00:00
PatchTST,ETTm1,96,192,M,0.371217,0.393172,2021,0,2026-08-12T07:11:51+00:00
PatchTST,ETTm1,96,336,M,0.402073,0.413310,2021,0,2026-08-12T07:13:57+00:00
PatchTST,ETTm1,96,720,M,0.460601,0.447990,2021,0,2026-08-12T07:16:08+00:00
