model,dataset,seq_len,pred_len,mse,mae
PatchTST,Weather,96,96,0.175476,0.217527
PatchTST,Weather,96,192,0.220688,0.255881
PatchTST,Weather,96,336,0.279987,0.297700
PatchTST,Weather,96,720,0.356043,0.348500
PatchTST,Electricity,96,96,0.180073,0.272976
PatchTST,Electricity,96,192,0.187426,0.279643
PatchTST,Electricity,96,336,0.204272,0.295972
PatchTST,Electricity,96,720,0.245544,0.328334
PatchTST,Exchange,96,96,0.096924,0.215392
PatchTST,Exchange,96,192,0.181251,0.302753
PatchTST,Exchange,96,336,0.342839,0.426314
PatchTST,Exchange,96,720,0.936154,0.725916
PatchTST,Traffic,96,96,0.459351,0.298446
PatchTST,Traffic,96,192,0.468811,0.300717
PatchTST,Traffic,96,336,0.482951,0.307435
PatchTST,Traffic,96,720,0.517205,0.326299
