model,dataset,seq_len,pred_len,mse,mae
RAFT,ETTh1,96,96,0.418419,0.424892
RAFT,ETTh1,96,192,0.455475,0.442826
RAFT,ETTh1,96,336,0.486633,0.453752
RAFT,ETTh1,96,720,0.477344,0.468214
RAFT,ETTh2,96,96,0.301669,0.350882
RAFT,ETTh2,96,192,0.383593,0.398810
RAFT,ETTh2,96,336,0.420556,0.431649
RAFT,ETTh2,96,720,0.423989,0.445474
RAFT,ETTm1,96,96,0.356641,0.376567
RAFT,ETTm1,96,192,0.393157,0.393548
RAFT,ETTm1,96,336,0.423975,0.413975
RAFT,ETTm1,96,720,0.484004,0.447046
RAFT,ETTm2,96,96,0.183390,0.267251
RAFT,ETTm2,96,192,0.247413,0.306507
RAFT,ETTm2,96,336,0.306978,0.343581
RAFT,ETTm2,96,720,0.407645,0.399469
RAFT,Weather,96,96,0.196779,0.239052
RAFT,Weather,96,192,0.242617,0.275185
RAFT,Weather,96,336,0.294031,0.310239
RAFT,Weather,96,720,0.366615,0.357722
RAFT,Electricity,96,96,0.217672,0.303429
RAFT,Electricity,96,192,0.210006,0.296276
RAFT,Electricity,96,336,0.218817,0.302979
RAFT,Electricity,96,720,0.220172,0.323169
RAFT,Exchange,96,96,0.083773,0.199715
RAFT,Exchange,96,192,0.175089,0.295123
RAFT,Exchange,96,336,0.329651,0.415023
RAFT,Exchange,96,720,0.921072,0.725443
RAFT,Traffic,96,96,0.722189,0.445853
RAFT,Traffic,96,192,0.644689,0.407790
RAFT,Traffic,96,336,0.555139,0.346464
RAFT,Traffic,96,720,0.581216,0.360785
